timestamp,site_id,event_id,start_day,end_day,status,action,notes,user,resolution_type,resolution_cause,cost,resolved_by,escalated_to,urgency,reminder_date,reason
2025-12-05 09:36:57.424211,Property 42984,Property 42984__2024-12-24__2024-12-28,2024-12-24,2024-12-28,INVESTIGATE,Acknowledge,,,,,,,,,,
2025-12-05 09:57:26.796595,Property 11127,Property 11127__2024-12-02__2024-12-05,2024-12-02,2024-12-05,CALL,Acknowledge,,,,,,,,,,
2025-12-06 11:24:27.860218,Property 11127,Property 11127__2024-12-02__2024-12-05,2024-12-02,2024-12-05,CALL,Acknowledge,,,,,,,,,,
2025-12-06 13:31:10.114567,Property 11127,Property 11127__2024-12-02__2024-12-05,2024-12-02,2024-12-05,CALL,Acknowledge,,,,,,,,,,
2025-12-06 13:44:41.863242,Property 11127,Property 11127__2024-12-02__2024-12-05,2024-12-02,2024-12-05,CALL,Acknowledge,,,,,,,,,,
2025-12-06 13:54:54.073738,Property 11127,Property 11127__2024-12-02__2024-12-05,2024-12-02,2024-12-05,CALL,Acknowledge,,,,,,,,,,
2025-12-06 14:52:42.287714,Property 11127,Property 11127__2024-12-02__2024-12-05,2024-12-02,2024-12-05,CALL,Acknowledge,,,,,,,,,,
2025-12-06 14:57:07.633060,Property 11127,Property 11127__2024-12-02__2024-12-05,2024-12-02,2024-12-05,CALL,Acknowledge,,,,,,,,,,
2025-12-06 15:00:49.064226,Property 11127,Property 11127__2024-12-02__2024-12-05,2024-12-02,2024-12-05,CALL,Acknowledge,,,,,,,,,,
2025-12-06 15:07:38.733470,Property 11127,Property 11127__2024-12-02__2024-12-05,2024-12-02,2024-12-05,CALL,Acknowledge,,,,,,,,,,
2025-12-06 15:17:31.979276,Property 11127,Property 11127__2024-12-02__2024-12-05,2024-12-02,2024-12-05,CALL,Acknowledge,,,,,,,,,,
2025-12-06 15:26:27.797017,Property 11127,Property 11127__2024-12-02__2024-12-05,2024-12-02,2024-12-05,CALL,Acknowledge,,,,,,,,,,
2025-12-06 15:27:01.082077,Property 11127,Property 11127__2024-12-02__2024-12-05,2024-12-02,2024-12-05,CALL,Ignore,,,,,,,,,,
2025-12-08 12:29:56.878949,Property 11127,Property 11127__2024-12-02__2024-12-05,2024-12-02,2024-12-05,CALL,Acknowledge,,,,,,,,,,
2025-12-08 12:34:31.635276,Property 11127,Property 11127__2024-12-02__2024-12-05,2024-12-02,2024-12-05,CALL,Acknowledge,,,,,,,,,,
2025-12-08 13:06:07.826305,Property 11127,Property 11127__2024-12-02__2024-12-05,2024-12-02,2024-12-05,CALL,Acknowledge,,,,,,,,,,
2025-12-08 13:14:07.462873,Property 11127,Property 11127__2024-12-02__2024-12-05,2024-12-02,2024-12-05,CALL,Acknowledge,,,,,,,,,,
2025-12-08 13:16:38.954683,Property 11127,Property 11127__2024-12-02__2024-12-05,2024-12-02,2024-12-05,CALL,Acknowledge,,,,,,,,,,
2025-12-08 13:19:47.962750,Property 11127,Property 11127__2024-12-02__2024-12-05,2024-12-02,2024-12-05,CALL,Ignore,,,,,,,,,,
2025-12-08 14:31:58.695988,Property 11127,Property 11127__2024-12-02__2024-12-05,2024-12-02,2024-12-05,CALL,Acknowledge,,,,,,,,,,
2025-12-08 19:32:34.789786,Property 11127,Property 11127__2024-12-02__2024-12-05,2024-12-02,2024-12-05,CALL,Acknowledge,,,,,,,,,,
2025-12-08 19:33:48.938899,Property 11127,Property 11127__2024-12-02__2024-12-05,2024-12-02,2024-12-05,CALL,Acknowledge,,,,,,,,,,
2025-12-08 19:49:03.630075,Property 11127,Property 11127__2024-12-02__2024-12-05,,,,Acknowledge,,,,,,,,,,
2025-12-08 20:04:04.121594,Property 11127,Property 11127__2024-12-02__2024-12-05,2024-12-02,2024-12-05,CALL,Acknowledge,,,,,,,,,,
2025-12-08 20:05:26.445780,Property 11127,Property 11127__2024-12-02__2024-12-05,,,,Acknowledge,,,,,,,,,,
2025-12-08 20:08:10.180911,Property 11127,Property 11127__2024-12-02__2024-12-05,,,,Acknowledge,,,,,,,,,,
2025-12-08 20:12:29.019855,Property 11127,Property 11127__2024-12-02__2024-12-05,,,,Acknowledge,,,,,,,,,,
2025-12-08 20:13:44.750414,Property 11127,Property 11127__2024-12-02__2024-12-05,,,,Acknowledge,,,,,,,,,,
2025-12-08 20:22:21.582030,Property 11127,Property 11127__2024-12-02__2024-12-05,,,,Acknowledge,,,,,,,,,,
2025-12-08 20:23:59.836887,Property 11127,Property 11127__2024-12-02__2024-12-05,,,,Acknowledge,,,,,,,,,,
2025-12-08 20:27:21.122632,Property 11127,Property 11127__2024-12-02__2024-12-09,2024-12-02,2024-12-09,CALL,Acknowledge,,,,,,,,,,
2025-12-16 09:29:53.180068,Property 11127,Property 11127__2024-12-02__2024-12-05,2024-12-02,2024-12-05,CALL,Acknowledge,,,,,,,,,,
2025-12-16 09:37:26.148052,Property 11127,Property 11127__2024-12-02__2024-12-05,2024-12-02,2024-12-05,CALL,Acknowledge,,,,,,,,,,
2025-12-16 09:39:22.098918,Property 11127,Property 11127__2024-12-02__2024-12-05,2024-12-02,2024-12-05,CALL,Watch,,,,,,,,,,
2025-12-16 09:40:53.443915,Property 11127,Property 11127__2024-12-02__2024-12-05,2024-12-02,2024-12-05,CALL,Escalate,,,,,,,,,,
2025-12-16 09:41:45.316800,Property 11127,Property 11127__2024-12-02__2024-12-05,2024-12-02,2024-12-05,CALL,Resolved,,,,,,,,,,
2025-12-16 09:42:27.196136,Property 11127,Property 11127__2024-12-02__2024-12-05,2024-12-02,2024-12-05,CALL,Ignore,,,,,,,,,,
2025-12-18 08:52:52.347916,Property 11127,Property 11127__2024-12-02__2024-12-05,2024-12-02,2024-12-05,CALL,Acknowledge,,,,,,,,,,
2025-12-18 09:15:27.044153,Property 11127,Property 11127__2024-12-02__2024-12-05,2024-12-02,2024-12-05,CALL,Acknowledge,,,,,,,,,,
2025-12-18 09:22:40.472498,Property 11127,Property 11127__2024-12-02__2024-12-05,2024-12-02,2024-12-05,CALL,Acknowledge,,,,,,,,,,
2025-12-18 09:23:11.473914,Property 11127,Property 11127__2024-12-02__2024-12-05,2024-12-02,2024-12-05,CALL,Acknowledge,real leak,,,,,,,,,
2025-12-18 09:23:21.606033,Property 11127,Property 11127__2024-12-02__2024-12-05,2024-12-02,2024-12-05,CALL,Watch,,,,,,,,,,
2025-12-18 09:23:35.756081,Property 11127,Property 11127__2024-12-02__2024-12-05,2024-12-02,2024-12-05,CALL,Watch,,,,,,,,,,
2025-12-18 09:23:46.456038,Property 11127,Property 11127__2024-12-02__2024-12-05,2024-12-02,2024-12-05,CALL,Escalate,,,,,,,,,,
2025-12-18 09:24:02.107027,Property 11127,Property 11127__2024-12-02__2024-12-05,2024-12-02,2024-12-05,CALL,Escalate,,,,,,,,,,
2025-12-18 09:24:04.486410,Property 11127,Property 11127__2024-12-02__2024-12-05,2024-12-02,2024-12-05,CALL,Ignore,,,,,,,,,,
2025-12-18 09:24:48.278010,Property 11127,Property 11127__2024-12-02__2024-12-05,2024-12-02,2024-12-05,CALL,Ignore,,,False Alarm,,,,,,,false_alarm
2025-12-18 09:39:41.708043,Property 11127,Property 11127__2024-12-02__2024-12-05,2024-12-02,2024-12-05,CALL,Ignore,,,,,,,,,,
2025-12-18 09:40:00.333073,Property 11127,Property 11127__2024-12-02__2024-12-05,2024-12-02,2024-12-05,CALL,Ignore,,,Known Temporary Usage,,,,,,,temp_usage
2025-12-18 09:40:04.822618,Property 11127,Property 11127__2024-12-02__2024-12-05,2024-12-02,2024-12-05,CALL,Ignore,,,,,,,,,,
2025-12-18 09:40:33.903326,Property 11127,Property 11127__2024-12-02__2024-12-05,2024-12-02,2024-12-05,CALL,Ignore,,,,,,,,,,
2025-12-18 09:40:42.402457,Property 11127,Property 11127__2024-12-02__2024-12-05,2024-12-02,2024-12-05,CALL,Ignore,,,Known Temporary Usage,,,,,,,temp_usage
2025-12-18 09:40:46.256048,Property 11127,Property 11127__2024-12-02__2024-12-05,2024-12-02,2024-12-05,CALL,Ignore,,,,,,,,,,
2025-12-18 09:50:41.446182,Property 11127,Property 11127__2024-12-02__2024-12-05,2024-12-02,2024-12-05,CALL,Acknowledge,,,,,,,,,,
2026-01-30 09:56:31.156308,Property 11127,Property 11127__2024-12-02__2024-12-05,2024-12-02,2024-12-05,CALL,Acknowledge,,,,,,,,,,
2026-01-30 09:56:36.788668,Property 11127,Property 11127__2024-12-02__2024-12-05,2024-12-02,2024-12-05,CALL,Ignore,,,,,,,,,,
2026-01-30 09:56:43.646557,Property 11127,Property 11127__2024-12-02__2024-12-05,2024-12-02,2024-12-05,CALL,Ignore,,,False Alarm,,,,,,,false_alarm
